Datum;Last;Erzeugung
8.1.22 5:45;246.726;121.198
8.1.22 6:00;252.195;121.123
8.1.22 6:15;263.070;120.892
8.1.22 6:30;267.793;121.644
8.1.22 6:45;273.655;120.718
8.1.22 7:00;251.986;121.997
8.1.22 7:15;270.071;122.751
8.1.22 7:30;272.195;122.853
8.1.22 7:45;281.822;121.761
8.1.22 8:00;270.389;123.074
8.1.22 8:15;276.787;123.189
8.1.22 8:30;287.453;123.792
8.1.22 8:45;286.693;122.902
8.1.22 9:00;306.225;125.352
8.1.22 9:15;305.999;133.372
8.1.22 9:30;295.138;136.369
8.1.22 9:45;311.855;136.551
8.1.22 10:00;323.358;139.017
8.1.22 10:15;331.823;139.094
8.1.22 10:30;323.667;139.782
8.1.22 10:45;325.335;139.869
8.1.22 11:00;330.787;138.752
8.1.22 11:15;334.845;138.152
8.1.22 11:30;342.358;137.737
8.1.22 11:45;315.547;137.252
8.1.22 12:00;330.279;136.491
8.1.22 12:15;332.092;124.356
8.1.22 12:30;331.459;124.340
8.1.22 12:45;326.469;124.307
8.1.22 13:00;316.603;125.306
8.1.22 13:15;326.687;123.863
8.1.22 13:30;326.348;123.840
8.1.22 13:45;319.363;123.640
8.1.22 14:00;329.518;123.966
8.1.22 14:15;307.413;124.974
8.1.22 14:30;323.490;124.785
8.1.22 14:45;324.632;124.313
8.1.22 15:00;327.819;122.440
8.1.22 15:15;318.019;122.466
8.1.22 15:30;319.616;124.041
8.1.22 15:45;326.663;125.229
8.1.22 16:00;338.536;127.168
8.1.22 16:15;321.237;127.835
8.1.22 16:30;327.896;128.459
8.1.22 16:45;337.910;129.922
8.1.22 17:00;340.063;130.259
8.1.22 17:15;346.583;129.188
8.1.22 17:30;332.803;129.091
8.1.22 17:45;345.683;127.662
8.1.22 18:00;351.270;127.207
8.1.22 18:15;346.479;126.840
8.1.22 18:30;338.821;126.058
8.1.22 18:45;337.629;123.523
8.1.22 19:00;334.541;119.071
8.1.22 19:15;333.738;116.529
8.1.22 19:30;327.036;116.157
8.1.22 19:45;326.371;115.708
8.1.22 20:00;330.723;114.992
8.1.22 20:15;328.129;112.322
8.1.22 20:30;330.439;112.607
8.1.22 20:45;301.914;112.009
8.1.22 21:00;322.552;111.904
8.1.22 21:15;320.651;111.638
8.1.22 21:30;319.398;110.550
8.1.22 21:45;303.931;110.054
8.1.22 22:00;312.831;109.439
8.1.22 22:15;312.136;109.389
8.1.22 22:30;316.601;108.410
8.1.22 22:45;288.909;107.533
8.1.22 23:00;295.489;107.626
8.1.22 23:15;298.368;107.527
8.1.22 23:30;297.072;109.365
8.1.22 23:45;299.024;109.657
9.1.22 0:00;274.035;107.292
9.1.22 0:15;287.438;107.476
9.1.22 0:30;280.555;107.596
